S. No. (Col.1),State/UT (Col.2),SC/ST(Prevention of Atrocities) Act r/w IPC - Murder (Section 302 IPC) - V (Col.4),SC/ST(Prevention of Atrocities) Act r/w IPC - Attempt To Commit Murder (Section 307 IPC) - V (Col.7),"SC/ST(Prevention of Atrocities) Act r/w IPC - Grievous Hurt (Section 325,326,326A & 326B IPC) - V (Col.10)",SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage Her Modesty - Assault on SC Women to Outrage Her Modesty (Total) - V (Col.13),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage Her Modesty - Sexual Harassment (Section 354A IPC) - V (Col.13B),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on SC Women to Outrage Her Modesty - Stalking (Section 354D IPC) - V (Col.13E),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction (Total) - V (Col.19),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction of SC Women to Compel Her For Marriage (Sec 366 IPC) - V (Col.19D),SC/ST(Prevention of Atrocities) Act r/w IPC - Rape (Section 376 IPC) - V (Col.22),SC/ST(Prevention of Atrocities) Act r/w IPC - Attempt To Commit Rape (Section 376/511 IPC) - V (Col.25),SC/ST(Prevention of Atrocities) Act r/w IPC - Rioting (Sections 147 to 151 IPC) - V (Col.28),SC/ST(Prevention of Atrocities) Act r/w IPC - Robbery (Section 392 to 394 IPC) - V (Col.31),"SC/ST(Prevention of Atrocities) Act r/w IPC - Arson (Section 435, 436, 438 IPC) - V (Col.37)",Protection of Civil Rights Act against SCs - V (Col.52),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12)
1,Andhra Pradesh,25,42,10,303,28,5,21,3,90,17,35,0,11,0,2147,2335,2445,16,723,87,4
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0
4,Bihar,57,0,271,0,0,0,0,0,45,0,0,0,23,0,4089,5701,4311,46,135,46,24
5,Chhattisgarh,4,4,4,56,15,4,4,3,94,0,7,0,0,0,58,243,49,2,0,0,0
6,Goa,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,11,10,2,0,1,0
7,Gujarat,35,43,75,75,36,6,57,22,72,1,180,16,11,1,112,1322,153,18,26,7,19
8,Haryana,34,14,19,102,33,13,41,7,97,12,40,1,7,0,100,639,89,4,169,0,1
9,Himachal Pradesh,0,0,0,4,0,0,0,0,9,0,0,0,0,1,28,116,31,1,19,7,0
10,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,Jharkhand,2,2,2,4,3,0,0,0,3,1,2,0,0,0,921,525,951,115,69,8,22
12,Karnataka,49,31,17,51,4,2,33,17,93,1,161,0,0,10,833,1869,845,15,294,34,0
13,Kerala,7,6,31,97,28,3,6,0,142,1,49,0,0,0,537,810,639,32,194,28,3
14,Madhya Pradesh,81,106,88,686,226,41,62,18,439,3,110,3,21,0,244,4922,503,2,18,13,19
15,Maharashtra,46,71,45,352,137,25,41,16,220,1,268,10,17,14,826,1750,821,20,119,60,59
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
17,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Odisha,11,93,112,178,21,1,14,1,119,2,166,1,21,0,1296,1796,1282,42,250,78,2
21,Punjab,7,8,1,9,3,1,3,1,16,1,0,0,0,0,137,132,130,6,45,6,0
22,Rajasthan,67,13,46,120,21,0,69,10,329,25,0,2,11,0,732,5134,521,11,2632,292,18
23,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,Tamil Nadu,58,84,5,25,9,1,8,4,40,1,152,3,2,4,614,1291,642,97,0,172,0
25,Telangana,32,21,33,83,28,17,22,3,160,4,1,0,2,0,957,1529,1350,75,242,30,2
26,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Uttar Pradesh,274,220,382,1014,874,14,483,455,557,77,933,22,48,0,1575,10426,1579,1624,411,0,0
28,Uttarakhand,8,0,2,6,1,1,2,0,12,0,2,0,0,0,24,65,37,10,1,0,2
29,West Bengal,2,2,5,11,1,0,0,0,3,1,5,0,0,0,197,119,180,8,0,0,0
30,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
32,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
34,Delhi,0,1,1,2,0,0,0,0,5,0,0,0,0,1,55,54,74,3,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0,0,0
