S. No.,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged - Male,Persons Discharged - Female,Total Cases for Investigation (Col.6) = (Col.4+5),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Cases Pending Investigation from Previous Year (Col.4),Cases Pending Investigation at the End of the Year (Col.17) = (Col. 6 - (Col.7 + Col.16)),Cases Pending Trial from the Previous Year (Col.4),Cases Sent for Trial during the Year (Col.5),Cases Pending Trial at the End of the Year (Col.14) = (Col.6 - Col.13),Cases Compounded (Col.9),Cases in which Trials were Completed (Col.10) = (Col. 11+12),Cases Convicted (Col.11),Cases Acquitted or Discharged (Col.12),Cases Disposed off by Courts (Col.13) = (Col.7 +Col.8+Col.9+Col.10)
1,Andhra Pradesh,21911,4695,17590,3654,1169,110,10114,1500,744,60,25711,153,1323,226,8,9349,9161,31449,14774,32708,3615,9882,922,8960,13515
2,Arunachal Pradesh,364,25,264,20,23,0,54,0,13,0,520,74,8,28,1,153,170,1818,239,1941,40,76,23,53,116
3,Assam,21657,81,11545,44,475,0,6153,23,3,0,41833,7878,1,30,0,20964,22866,34537,11004,39019,0,6522,470,6052,6522
4,Bihar,16123,1325,17350,1016,925,63,3806,161,22,0,24556,789,430,1661,117,11156,7607,45850,13951,56366,0,3435,639,2796,3435
5,Chhattisgarh,6594,723,6413,669,1453,120,3771,315,133,11,7036,148,532,118,0,1089,1123,16567,5114,17235,1,4445,1207,3238,4446
6,Goa,312,37,282,18,18,1,152,11,24,0,706,53,2,35,0,335,377,989,236,1062,6,157,18,139,163
7,Gujarat,13910,4739,13963,4594,235,59,6401,2203,56,2,10047,326,33,295,5,1515,1679,65981,7676,69847,267,3537,122,3415,3810
8,Haryana,8465,831,7515,656,758,19,5197,528,0,0,11751,523,3776,0,68,1912,1777,15017,5603,16440,0,4180,560,3620,4180
9,Himachal Pradesh,1365,270,1304,260,117,3,839,108,0,0,1569,20,207,44,0,347,351,5399,947,5598,144,602,83,519,748
10,Jammu & Kashmir,3805,180,3373,173,65,3,2418,111,6,0,3990,63,720,0,0,1140,1384,11503,1823,11653,322,1351,56,1295,1673
11,Jharkhand,6078,426,4635,362,813,33,1848,142,21,4,9905,755,148,154,91,4452,4621,10711,4136,12404,4,2436,766,1670,2443
12,Karnataka,18369,4361,15127,3520,365,22,8328,1750,40,3,19787,178,1461,449,0,5656,7557,36199,9936,40055,266,5814,271,5543,6080
13,Kerala,11551,912,10706,813,600,57,5232,411,190,18,14355,233,286,61,12,4321,4315,56672,9408,61251,158,4652,500,4152,4829
14,Madhya Pradesh,35245,5418,34325,5337,5763,436,14678,1490,1036,68,30968,381,1420,513,302,4364,4727,61777,23606,67862,3508,14007,3888,10119,17521
15,Maharashtra,37461,9480,36970,7716,1956,145,15993,3597,609,108,49183,836,502,3730,166,17795,17637,151023,26231,165618,1472,10155,1135,9020,11636
16,Manipur,136,15,173,4,9,2,1,0,15,0,1638,86,0,0,0,1385,1387,275,165,424,0,16,7,9,16
17,Meghalaya,281,2,390,4,127,0,33,1,27,0,1157,137,8,17,1,785,732,1698,262,1823,7,130,88,42,137
18,Mizoram,125,1,121,1,75,1,6,0,3,0,160,2,0,1,0,40,41,266,116,302,0,80,71,9,80
19,Nagaland,72,0,67,0,30,0,12,0,23,1,145,41,0,0,0,40,43,79,61,85,0,55,23,32,55
20,Odisha,19146,691,19170,741,883,35,10174,453,0,0,25669,216,463,1172,11,7832,8190,66754,15610,76057,2,6304,392,5912,6307
21,Punjab,5370,780,4162,514,815,79,2386,286,58,22,9398,278,896,220,0,4293,5009,8204,2995,8868,4,2266,550,1716,2331
22,Rajasthan,18870,1587,18986,1611,3959,200,6856,632,492,85,29944,222,9549,3460,45,2522,2156,63373,14493,68040,729,8369,2884,5485,9826
23,Sikkim,156,3,121,2,11,0,18,4,1,0,190,12,0,0,0,37,65,46,113,128,0,31,11,20,31
24,Tamil Nadu,6102,1768,5103,1183,841,113,4032,628,23,7,8175,748,0,258,5,3712,3972,15507,3166,15561,19,3093,647,2446,3112
25,Telangana,18369,2918,15929,2384,700,33,7417,830,5,0,21959,569,642,438,14,6585,8061,30295,12185,34172,2499,5809,471,5338,8308
26,Tripura,1016,126,996,83,146,6,511,40,11,0,1343,63,17,116,7,330,278,4101,862,3981,456,526,130,396,982
27,Uttar Pradesh,117651,12598,73968,8032,14010,1138,11655,1154,84,8,59286,12642,1731,0,0,10024,12880,84094,32032,104459,660,11007,5795,5212,11667
28,Uttarakhand,1411,155,1344,146,346,1,398,53,4,1,2121,451,84,0,6,533,588,3063,990,3527,0,526,243,283,526
29,West Bengal,32730,1996,33124,2091,384,8,18701,952,45,0,48467,1206,0,0,123,15954,13538,232153,33539,255979,0,9713,319,9394,9713
30,A & N Islands,113,1,87,2,14,0,44,7,13,3,149,5,1,12,1,41,53,547,77,567,1,56,8,48,57
31,Chandigarh,383,16,340,18,61,0,198,13,0,0,737,19,0,113,0,323,325,564,280,615,16,213,52,161,229
32,D&N Haveli,27,1,38,2,2,0,26,3,0,0,55,1,2,0,0,27,21,107,30,116,0,21,2,19,21
33,Daman & Diu,43,5,34,0,0,0,44,17,7,13,61,2,0,5,0,20,26,35,28,43,0,20,0,20,20
34,Delhi,13151,608,9461,422,914,17,2079,42,173,14,34769,2379,378,2043,0,19459,21409,24991,8542,30803,136,2594,736,1858,2730
35,Lakshadweep,5,2,6,1,0,0,0,0,0,0,22,0,0,0,0,13,14,5,8,13,0,0,0,0,0
36,Puducherry,87,6,87,8,6,0,2,0,1,0,120,10,0,1,2,25,41,107,66,164,1,8,5,3,9
